path,title,price
https://novamnm.com/product/blu-ray-nuovo-cinema-paradiso-plain-edition-directors-cut-theatrical/702/?cate_no=122&display_group=1,BLU-RAY / NUOVO CINEMA PARADISO PLAIN EDITION (DIRECTOR'S CUT + THEATRICAL ),18.89
https://novamnm.com/product/blu-ray-universal-soldier-1992/1118/?cate_no=122&display_group=1,BLU-RAY / UNIVERSAL SOLDIER (1992),12.79
https://novamnm.com/product/blu-ray-malena-uncut-edition-plain-edition/1266/?cate_no=122&display_group=1,BLU-RAY / MALENA UNCUT EDITION (PLAIN EDITION),14.79
https://novamnm.com/product/blu-ray-the-aviator/1675/?cate_no=122&display_group=1,BLU-RAY / THE AVIATOR,16.29
https://novamnm.com/product/blu-ray-the-neverending-story-full-slip/1558/?cate_no=122&display_group=1,BLU-RAY / The NeverEnding Story FULL SLIP,16.29
https://novamnm.com/product/blu-ray-a-river-runs-through-it-remastering/1830/?cate_no=122&display_group=1,BLU-RAY / A River Runs Through It Remastering,16.29
https://novamnm.com/product/blu-ray-shaolin-soccer/1873/?cate_no=122&display_group=1,BLU-RAY / Shaolin Soccer,16.29
https://novamnm.com/product/blu-ray-the-lover-remastering/1842/?cate_no=122&display_group=1,BLU-RAY / The Lover Remastering,16.29
https://novamnm.com/product/blu-ray-fighter-in-the-wind-plain-edition/1086/?cate_no=122&display_group=1,BLU-RAY / FIGHTER IN THE WIND (PLAIN EDITION),15.29
https://novamnm.com/product/blu-ray-oasis-plain-edition/1087/?cate_no=122&display_group=1,BLU-RAY / OASIS (PLAIN EDITION),15.29
https://novamnm.com/product/blu-ray-singles-2003-plain-edition/1168/?cate_no=122&display_group=1,BLU-RAY / SINGLES 2003 (PLAIN EDITION),12.79
https://novamnm.com/product/blu-ray-my-mother-the-mermaid-plain-edition/1167/?cate_no=122&display_group=1,"BLU-RAY / MY MOTHER, THE MERMAID (PLAIN EDITION)",12.79
https://novamnm.com/product/blu-ray-cube-plain-edition/1091/?cate_no=122&display_group=1,BLU-RAY / CUBE (PLAIN EDITION),14.29
https://novamnm.com/product/blu-ray-the-concert-plain-edition/1428/?cate_no=122&display_group=1,BLU-RAY / THE CONCERT (PLAIN EDITION),14.29
https://novamnm.com/product/blu-ray-flash-point/1097/?cate_no=122&display_group=1,BLU-RAY / FLASH POINT,14.79
https://novamnm.com/product/blu-ray-running-scared-plain-edition/1199/?cate_no=122&display_group=1,BLU-RAY / RUNNING SCARED (PLAIN EDITION),14.29
https://novamnm.com/product/blu-ray-joyeux-noel-aka-merry-christmas/1096/?cate_no=122&display_group=1,BLU-RAY / JOYEUX NOEL (A.K.A. MERRY CHRISTMAS),15.29
https://novamnm.com/product/blu-ray-before-midnight-plain-edition/1737/?cate_no=122&display_group=1,BLU-RAY / BEFORE MIDNIGHT (PLAIN EDITION),15.79
https://novamnm.com/product/blu-ray-spl-aka-saat-po-long/1098/?cate_no=122&display_group=1,BLU-RAY / SPL (A.K.A. SAAT PO LONG),14.79
